Periodicity;Date;Year;Quarter;Economic Activity;GDP in Million Saudi Riyal
Quarterly;2010-03;2010;Q1;Mining & Quarrying : Other Mining & Quarrying;2188.76
Quarterly;2010-03;2010;Q1;Construction;22579.99
Quarterly;2010-03;2010;Q1;Community, Social & Personal Services;9115.01
Quarterly;2010-06;2010;Q2;Mining & Quarrying;199180.95
Quarterly;2010-06;2010;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;197120.82
Quarterly;2010-06;2010;Q2;Manufacturing;52528.27
Quarterly;2010-06;2010;Q2;Wholesale & Retail Trade, Restaurants & hotels;38246.96
Quarterly;2010-09;2010;Q3;Government Services;60770.51
Quarterly;2010-09;2010;Q3;Gross Value Added;475768.12
Quarterly;2010-12;2010;Q4;Manufacturing;54167.95
Quarterly;2010-12;2010;Q4;Government Services;89890.99
Quarterly;2011-03;2011;Q1;Mining & Quarrying;271254.41
Quarterly;2011-03;2011;Q1;Electricity, Gas and Water;3380.29
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services;50713.7
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;25145.26
Quarterly;2011-03;2011;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;25568.43
Quarterly;2011-03;2011;Q1;Government Services;76263.45
Quarterly;2011-06;2011;Q2;Mining & Quarrying;305478.89
Quarterly;2011-06;2011;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;303263.5
Quarterly;2011-06;2011;Q2;Manufacturing;62596.61
Quarterly;2011-09;2011;Q3;Agriculture, Forestry & Fishing;13676.84
Quarterly;2011-09;2011;Q3;Mining & Quarrying;313372.98
Quarterly;2011-09;2011;Q3;Manufacturing;63951.31
Quarterly;2011-09;2011;Q3;Electricity, Gas and Water;11438.85
Quarterly;2011-09;2011;Q3;Transport, Storage & Communication;27319.83
Quarterly;2011-09;2011;Q3;Gross Domestic Product;635905.72
Quarterly;2011-12;2011;Q4;Mining & Quarrying;325410.95
Quarterly;2011-12;2011;Q4;Manufacturing : Manufacturing excluding petroleum refining;45959.63
Quarterly;2011-12;2011;Q4;Construction;25938.65
Quarterly;2011-12;2011;Q4;Community, Social & Personal Services;10579.17
Quarterly;2012-03;2012;Q1;Agriculture, Forestry & Fishing;15555.21
Quarterly;2012-03;2012;Q1;Gross Value Added;711609.61
Quarterly;2012-06;2012;Q2;Agriculture, Forestry & Fishing;14979.09
Quarterly;2012-06;2012;Q2;Mining & Quarrying;331015.82
Quarterly;2012-06;2012;Q2;Manufacturing : Manufacturing excluding petroleum refining;49839.63
Quarterly;2012-09;2012;Q3;Finance, Insurance, Real Estate & Business Services;56852.86
Quarterly;2012-09;2012;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;30718.94
Quarterly;2012-09;2012;Q3;Gross Value Added;681110.91
Quarterly;2012-12;2012;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;313795.72
Quarterly;2012-12;2012;Q4;Wholesale & Retail Trade, Restaurants & hotels;57229.24
Quarterly;2012-12;2012;Q4;Transport, Storage & Communication;31716.24
Quarterly;2012-12;2012;Q4;Community, Social & Personal Services;11632.02
Quarterly;2012-12;2012;Q4;Net Taxes on Products;6663.0
Quarterly;2013-03;2013;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;303948.34
Quarterly;2013-03;2013;Q1;Manufacturing : Petroleum Refining;14845.08
Quarterly;2013-03;2013;Q1;Finance, Insurance, Real Estate & Business Services;69665.64
Quarterly;2013-03;2013;Q1;Community, Social & Personal Services;13082.16
Quarterly;2013-06;2013;Q2;Manufacturing;67628.91
Quarterly;2013-06;2013;Q2;Construction;33562.7
Quarterly;2013-06;2013;Q2;Community, Social & Personal Services;13050.53
Quarterly;2013-09;2013;Q3;Wholesale & Retail Trade, Restaurants & hotels;57918.64
Quarterly;2013-09;2013;Q3;Community, Social & Personal Services;12996.16
Quarterly;2013-12;2013;Q4;Agriculture, Forestry & Fishing;12354.53
Quarterly;2013-12;2013;Q4;Manufacturing : Manufacturing excluding petroleum refining;53667.55
Quarterly;2013-12;2013;Q4;Transport, Storage & Communication;34313.08
Quarterly;2013-12;2013;Q4;Government Services;93881.28
Quarterly;2013-12;2013;Q4;Gross Domestic Product;708679.54
Quarterly;2014-03;2014;Q1;Mining & Quarrying;313188.18
Quarterly;2014-03;2014;Q1;Manufacturing;79959.81
Quarterly;2014-03;2014;Q1;Manufacturing : Manufacturing excluding petroleum refining;63156.78
Quarterly;2014-03;2014;Q1;Construction;38721.63
Quarterly;2014-03;2014;Q1;Transport, Storage & Communication;37661.02
Quarterly;2014-03;2014;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;44518.41
Quarterly;2014-03;2014;Q1;Government Services;96241.07
Quarterly;2014-06;2014;Q2;Finance, Insurance, Real Estate & Business Services;71214.85
Quarterly;2014-09;2014;Q3;Mining & Quarrying;288171.29
Quarterly;2014-09;2014;Q3;Construction;38621.81
Quarterly;2014-09;2014;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;41883.01
Quarterly;2014-09;2014;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;29577.42
Quarterly;2014-12;2014;Q4;Construction;37542.96
Quarterly;2014-12;2014;Q4;Finance, Insurance, Real Estate & Business Services;73434.65
Quarterly;2015-03;2015;Q1;Manufacturing : Petroleum Refining;14829.2
Quarterly;2015-03;2015;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;47756.48
Quarterly;2015-06;2015;Q2;Mining & Quarrying;177957.3
Quarterly;2015-06;2015;Q2;Mining & Quarrying : Other Mining & Quarrying;2815.5
Quarterly;2015-06;2015;Q2;Manufacturing : Manufacturing excluding petroleum refining;63177.78
Quarterly;2015-06;2015;Q2;Finance, Insurance, Real Estate & Business Services;76910.43
Quarterly;2015-06;2015;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;43006.65
Quarterly;2015-09;2015;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;142981.51
Quarterly;2015-09;2015;Q3;Transport, Storage & Communication;36630.14
Quarterly;2015-09;2015;Q3;Finance, Insurance, Real Estate & Business Services;75497.38
Quarterly;2015-09;2015;Q3;Gross Value Added;613125.18
Quarterly;2015-12;2015;Q4;Mining & Quarrying;124533.94
Quarterly;2015-12;2015;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;122177.34
Quarterly;2015-12;2015;Q4;Mining & Quarrying : Other Mining & Quarrying;2356.6
Quarterly;2015-12;2015;Q4;Transport, Storage & Communication;39975.45
Quarterly;2015-12;2015;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;32855.81
Quarterly;2015-12;2015;Q4;Gross Value Added;573874.82
Quarterly;2016-03;2016;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;93273.64
Quarterly;2016-03;2016;Q1;Manufacturing : Petroleum Refining;16189.01
Quarterly;2016-03;2016;Q1;Electricity, Gas and Water;4706.17
Quarterly;2016-03;2016;Q1;Gross Domestic Product;594201.06
Quarterly;2016-06;2016;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;133490.3
Quarterly;2016-06;2016;Q2;Manufacturing;80421.29
Quarterly;2016-06;2016;Q2;Wholesale & Retail Trade, Restaurants & hotels;67224.67
Quarterly;2016-06;2016;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;47221.49
Quarterly;2016-06;2016;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;33795.23
Quarterly;2016-09;2016;Q3;Manufacturing : Manufacturing excluding petroleum refining;65096.52
Quarterly;2016-09;2016;Q3;Electricity, Gas and Water;15716.38
Quarterly;2016-09;2016;Q3;Finance, Insurance, Real Estate & Business Services;77978.83
Quarterly;2016-09;2016;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;46119.16
Quarterly;2016-09;2016;Q3;Net Taxes on Products;4641.0
Quarterly;2016-12;2016;Q4;Mining & Quarrying : Other Mining & Quarrying;2344.54
Quarterly;2016-12;2016;Q4;Manufacturing;82118.41
Quarterly;2016-12;2016;Q4;Wholesale & Retail Trade, Restaurants & hotels;72378.13
Quarterly;2016-12;2016;Q4;Finance, Insurance, Real Estate & Business Services;82576.92
Quarterly;2016-12;2016;Q4;Gross Value Added;646555.72
Quarterly;2017-03;2017;Q1;Manufacturing;91301.08
Quarterly;2017-03;2017;Q1;Manufacturing : Petroleum Refining;19815.35
Quarterly;2017-06;2017;Q2;Manufacturing;87222.94
Quarterly;2017-06;2017;Q2;Manufacturing : Manufacturing excluding petroleum refining;66203.57
Quarterly;2017-06;2017;Q2;Finance, Insurance, Real Estate & Business Services;84877.49
Quarterly;2017-06;2017;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;49754.02
Quarterly;2017-12;2017;Q4;Agriculture, Forestry & Fishing;17523.97
Quarterly;2017-12;2017;Q4;Wholesale & Retail Trade, Restaurants & hotels;73803.94
Quarterly;2017-12;2017;Q4;Government Services;134353.08
Quarterly;2017-12;2017;Q4;Gross Domestic Product;703589.18
Quarterly;2018-03;2018;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;207391.12
Quarterly;2018-03;2018;Q1;Net Taxes on Products;19087.95
Quarterly;2018-06;2018;Q2;Mining & Quarrying : Other Mining & Quarrying;3043.35
Quarterly;2018-06;2018;Q2;Gross Domestic Product;798575.62
Quarterly;2018-09;2018;Q3;Agriculture, Forestry & Fishing;19784.16
Quarterly;2018-09;2018;Q3;Mining & Quarrying : Other Mining & Quarrying;3177.56
Quarterly;2018-09;2018;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;49000.9
Quarterly;2018-09;2018;Q3;Community, Social & Personal Services;22810.3
Quarterly;2018-12;2018;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;253662.24
Quarterly;2018-12;2018;Q4;Manufacturing;100753.58
Quarterly;2018-12;2018;Q4;Manufacturing : Petroleum Refining;30607.66
Quarterly;2018-12;2018;Q4;Manufacturing : Manufacturing excluding petroleum refining;70145.92
Quarterly;2018-12;2018;Q4;Wholesale & Retail Trade, Restaurants & hotels;73939.34
Quarterly;2018-12;2018;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;51069.83
Quarterly;2018-12;2018;Q4;Government Services;149020.63
Quarterly;2018-12;2018;Q4;Gross Value Added;801161.7
Quarterly;2019-03;2019;Q1;Manufacturing : Manufacturing excluding petroleum refining;73441.74
Quarterly;2019-03;2019;Q1;Transport, Storage & Communication;43744.37
Quarterly;2019-03;2019;Q1;Gross Domestic Product;755656.83
Quarterly;2019-06;2019;Q2;Mining & Quarrying;217978.02
Quarterly;2019-06;2019;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;214777.63
Quarterly;2019-06;2019;Q2;Manufacturing : Petroleum Refining;26684.77
Quarterly;2019-09;2019;Q3;Agriculture, Forestry & Fishing;20256.78
Quarterly;2019-09;2019;Q3;Mining & Quarrying;215375.12
Quarterly;2019-09;2019;Q3;Mining & Quarrying : Other Mining & Quarrying;3492.12
Quarterly;2019-09;2019;Q3;Net Taxes on Products;23059.08
Quarterly;2019-12;2019;Q4;Agriculture, Forestry & Fishing;18417.97
Quarterly;2019-12;2019;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;220028.43
Quarterly;2019-12;2019;Q4;Government Services;151233.97
Quarterly;2019-12;2019;Q4;Net Taxes on Products;26571.04
Quarterly;2020-03;2020;Q1;Wholesale & Retail Trade, Restaurants & hotels;74066.39
Quarterly;2020-03;2020;Q1;Finance, Insurance, Real Estate & Business Services;90695.4
Quarterly;2020-03;2020;Q1;Gross Domestic Product;722186.58
Quarterly;2020-06;2020;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;50192.59
Quarterly;2020-09;2020;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;143299.05
Quarterly;2020-09;2020;Q3;Manufacturing;83612.62
Quarterly;2020-09;2020;Q3;Community, Social & Personal Services;20786.81
Quarterly;2020-09;2020;Q3;Government Services;139524.25
Quarterly;2020-09;2020;Q3;Net Taxes on Products;31064.28
Quarterly;2020-09;2020;Q3;Gross Domestic Product;699582.72
Quarterly;2020-12;2020;Q4;Agriculture, Forestry & Fishing;18868.73
Quarterly;2020-12;2020;Q4;Manufacturing;95857.62
Quarterly;2020-12;2020;Q4;Transport, Storage & Communication;44670.21
Quarterly;2020-12;2020;Q4;Government Services;149720.18
Quarterly;2021-03;2021;Q1;Manufacturing;105233.2
Quarterly;2021-03;2021;Q1;Manufacturing : Manufacturing excluding petroleum refining;75415.68
Quarterly;2021-03;2021;Q1;Community, Social & Personal Services;18425.28
Quarterly;2021-06;2021;Q2;Manufacturing : Manufacturing excluding petroleum refining;70433.31
Quarterly;2021-06;2021;Q2;Wholesale & Retail Trade, Restaurants & hotels;75856.79
Quarterly;2021-06;2021;Q2;Transport, Storage & Communication;37703.58
Quarterly;2021-09;2021;Q3;Mining & Quarrying : Other Mining & Quarrying;3875.78
Quarterly;2021-09;2021;Q3;Manufacturing : Petroleum Refining;33555.17
Quarterly;2021-09;2021;Q3;Electricity, Gas and Water;18211.58
Quarterly;2021-09;2021;Q3;Construction;45031.42
Quarterly;2021-09;2021;Q3;Net Taxes on Products;48971.4
Quarterly;2021-12;2021;Q4;Manufacturing;126229.89
Quarterly;2021-12;2021;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;52603.51
Quarterly;2021-12;2021;Q4;Net Taxes on Products;50954.32
Quarterly;2022-03;2022;Q1;Mining & Quarrying;310369.04
Quarterly;2022-03;2022;Q1;Finance, Insurance, Real Estate & Business Services;94451.68
Quarterly;2022-03;2022;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;39224.94
Quarterly;2022-06;2022;Q2;Construction;43868.91
Quarterly;2022-06;2022;Q2;Finance, Insurance, Real Estate & Business Services;96480.81
Quarterly;2022-06;2022;Q2;Community, Social & Personal Services;23162.1
Quarterly;2022-06;2022;Q2;Gross Domestic Product;1088077.95
Quarterly;2022-09;2022;Q3;Wholesale & Retail Trade, Restaurants & hotels;85948.27
Quarterly;2022-09;2022;Q3;Finance, Insurance, Real Estate & Business Services;99953.07
Quarterly;2022-12;2022;Q4;Manufacturing : Petroleum Refining;71718.28
Quarterly;2022-12;2022;Q4;Construction;49564.23
Quarterly;2022-12;2022;Q4;Wholesale & Retail Trade, Restaurants & hotels;89565.39
Quarterly;2022-12;2022;Q4;Community, Social & Personal Services;28120.66
Quarterly;2023-03;2023;Q1;Agriculture, Forestry & Fishing;28698.13
Quarterly;2023-03;2023;Q1;Gross Value Added;949079.9
Quarterly;2010-03;2010;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;186972.47
Quarterly;2010-03;2010;Q1;Manufacturing : Manufacturing excluding petroleum refining;39127.06
Quarterly;2010-03;2010;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;22742.81
Quarterly;2010-03;2010;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;24343.62
Quarterly;2010-03;2010;Q1;Gross Domestic Product;480428.86
Quarterly;2010-06;2010;Q2;Mining & Quarrying : Other Mining & Quarrying;2060.12
Quarterly;2010-06;2010;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;23396.71
Quarterly;2010-06;2010;Q2;Gross Value Added;474160.07
Quarterly;2010-09;2010;Q3;Manufacturing;54264.23
Quarterly;2010-09;2010;Q3;Manufacturing : Manufacturing excluding petroleum refining;39157.92
Quarterly;2010-09;2010;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;22462.87
Quarterly;2010-09;2010;Q3;Net Taxes on Products;3664.3
Quarterly;2010-12;2010;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;232930.24
Quarterly;2010-12;2010;Q4;Mining & Quarrying : Other Mining & Quarrying;1779.47
Quarterly;2010-12;2010;Q4;Manufacturing : Petroleum Refining;17999.72
Quarterly;2010-12;2010;Q4;Manufacturing : Manufacturing excluding petroleum refining;36168.24
Quarterly;2010-12;2010;Q4;Electricity, Gas and Water;4573.81
Quarterly;2010-12;2010;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;21680.98
Quarterly;2010-12;2010;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;23398.16
Quarterly;2011-03;2011;Q1;Manufacturing;62328.58
Quarterly;2011-06;2011;Q2;Wholesale & Retail Trade, Restaurants & hotels;45543.19
Quarterly;2011-06;2011;Q2;Transport, Storage & Communication;28567.84
Quarterly;2011-06;2011;Q2;Finance, Insurance, Real Estate & Business Services;48267.61
Quarterly;2011-06;2011;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;23689.58
Quarterly;2011-06;2011;Q2;Community, Social & Personal Services;10438.95
Quarterly;2011-09;2011;Q3;Mining & Quarrying : Other Mining & Quarrying;2249.22
Quarterly;2011-09;2011;Q3;Manufacturing : Petroleum Refining;16556.12
Quarterly;2011-09;2011;Q3;Community, Social & Personal Services;10386.98
Quarterly;2011-09;2011;Q3;Government Services;68794.76
Quarterly;2011-12;2011;Q4;Electricity, Gas and Water;5226.79
Quarterly;2011-12;2011;Q4;Finance, Insurance, Real Estate & Business Services : Real Estate;24009.71
Quarterly;2011-12;2011;Q4;Government Services;85199.29
Quarterly;2012-03;2012;Q1;Mining & Quarrying : Crude Petroleum & Natural Gas;348760.8
Quarterly;2012-03;2012;Q1;Manufacturing;71233.86
Quarterly;2012-03;2012;Q1;Manufacturing : Manufacturing excluding petroleum refining;52882.75
Quarterly;2012-03;2012;Q1;Wholesale & Retail Trade, Restaurants & hotels;59322.58
Quarterly;2012-03;2012;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;32215.75
Quarterly;2012-03;2012;Q1;Net Taxes on Products;3814.0
Quarterly;2012-06;2012;Q2;Electricity, Gas and Water;8666.04
Quarterly;2012-06;2012;Q2;Community, Social & Personal Services;11632.02
Quarterly;2012-09;2012;Q3;Mining & Quarrying;313272.64
Quarterly;2012-09;2012;Q3;Mining & Quarrying : Other Mining & Quarrying;2376.53
Quarterly;2012-09;2012;Q3;Transport, Storage & Communication;29443.17
Quarterly;2012-09;2012;Q3;Community, Social & Personal Services;11585.49
Quarterly;2012-12;2012;Q4;Manufacturing : Manufacturing excluding petroleum refining;50160.97
Quarterly;2012-12;2012;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;27014.48
Quarterly;2012-12;2012;Q4;Gross Value Added;685309.02
Quarterly;2013-03;2013;Q1;Construction;34124.08
Quarterly;2013-03;2013;Q1;Wholesale & Retail Trade, Restaurants & hotels;65151.31
Quarterly;2013-06;2013;Q2;Finance, Insurance, Real Estate & Business Services;66605.5
Quarterly;2013-06;2013;Q2;Government Services;95532.7
Quarterly;2013-06;2013;Q2;Gross Value Added;696509.47
Quarterly;2013-06;2013;Q2;Gross Domestic Product;702998.47
Quarterly;2013-09;2013;Q3;Manufacturing : Petroleum Refining;15664.35
Quarterly;2013-09;2013;Q3;Electricity, Gas and Water;12641.14
Quarterly;2013-09;2013;Q3;Construction;34083.32
Quarterly;2014-03;2014;Q1;Mining & Quarrying : Other Mining & Quarrying;2835.44
Quarterly;2014-03;2014;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;32167.94
Quarterly;2014-03;2014;Q1;Net Taxes on Products;4418.0
Quarterly;2014-06;2014;Q2;Mining & Quarrying;310287.95
Quarterly;2014-06;2014;Q2;Manufacturing;75500.44
Quarterly;2014-06;2014;Q2;Net Taxes on Products;6134.0
Quarterly;2014-09;2014;Q3;Mining & Quarrying : Crude Petroleum & Natural Gas;285407.14
Quarterly;2014-09;2014;Q3;Gross Value Added;725960.19
Quarterly;2014-09;2014;Q3;Net Taxes on Products;5555.0
Quarterly;2014-09;2014;Q3;Gross Domestic Product;731515.19
Quarterly;2014-12;2014;Q4;Government Services;92434.09
Quarterly;2015-03;2015;Q1;Electricity, Gas and Water;4280.88
Quarterly;2015-06;2015;Q2;Manufacturing;81033.23
Quarterly;2015-06;2015;Q2;Construction;40231.71
Quarterly;2015-06;2015;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;33903.78
Quarterly;2015-06;2015;Q2;Gross Value Added;647091.08
Quarterly;2015-06;2015;Q2;Gross Domestic Product;652337.08
Quarterly;2015-09;2015;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;30616.44
Quarterly;2015-12;2015;Q4;Manufacturing;78561.94
Quarterly;2015-12;2015;Q4;Manufacturing : Petroleum Refining;14182.37
Quarterly;2015-12;2015;Q4;Electricity, Gas and Water;6689.85
Quarterly;2015-12;2015;Q4;Construction;39874.03
Quarterly;2015-12;2015;Q4;Gross Domestic Product;583700.82
Quarterly;2016-03;2016;Q1;Mining & Quarrying : Other Mining & Quarrying;2947.34
Quarterly;2016-03;2016;Q1;Finance, Insurance, Real Estate & Business Services;82543.39
Quarterly;2016-03;2016;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;49175.87
Quarterly;2016-06;2016;Q2;Agriculture, Forestry & Fishing;18977.37
Quarterly;2016-06;2016;Q2;Construction;39146.86
Quarterly;2016-06;2016;Q2;Government Services;120282.04
Quarterly;2016-06;2016;Q2;Gross Value Added;614039.59
Quarterly;2016-06;2016;Q2;Net Taxes on Products;9137.0
Quarterly;2016-09;2016;Q3;Mining & Quarrying;143414.12
Quarterly;2016-09;2016;Q3;Mining & Quarrying : Other Mining & Quarrying;2901.19
Quarterly;2016-09;2016;Q3;Manufacturing : Petroleum Refining;16620.21
Quarterly;2016-12;2016;Q4;Agriculture, Forestry & Fishing;16781.86
Quarterly;2016-12;2016;Q4;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;34837.56
Quarterly;2016-12;2016;Q4;Government Services;126496.04
Quarterly;2017-03;2017;Q1;Agriculture, Forestry & Fishing;20233.43
Quarterly;2017-03;2017;Q1;Mining & Quarrying;161998.97
Quarterly;2017-03;2017;Q1;Manufacturing : Manufacturing excluding petroleum refining;71485.74
Quarterly;2017-03;2017;Q1;Community, Social & Personal Services;23107.44
Quarterly;2017-03;2017;Q1;Gross Value Added;653330.39
Quarterly;2017-06;2017;Q2;Mining & Quarrying : Crude Petroleum & Natural Gas;149856.56
Quarterly;2017-06;2017;Q2;Manufacturing : Petroleum Refining;21019.36
Quarterly;2017-06;2017;Q2;Transport, Storage & Communication;40475.94
Quarterly;2017-09;2017;Q3;Construction;39465.63
Quarterly;2017-09;2017;Q3;Wholesale & Retail Trade, Restaurants & hotels;72339.73
Quarterly;2017-09;2017;Q3;Transport, Storage & Communication;39353.67
Quarterly;2017-09;2017;Q3;Gross Value Added;662275.64
Quarterly;2017-09;2017;Q3;Net Taxes on Products;6974.0
Quarterly;2017-12;2017;Q4;Mining & Quarrying;184796.0
Quarterly;2017-12;2017;Q4;Mining & Quarrying : Crude Petroleum & Natural Gas;182326.75
Quarterly;2017-12;2017;Q4;Manufacturing;88129.94
Quarterly;2017-12;2017;Q4;Manufacturing : Manufacturing excluding petroleum refining;67272.8
Quarterly;2017-12;2017;Q4;Finance, Insurance, Real Estate & Business Services;87906.01
Quarterly;2018-03;2018;Q1;Manufacturing : Petroleum Refining;28702.95
Quarterly;2018-03;2018;Q1;Manufacturing : Manufacturing excluding petroleum refining;72485.69
Quarterly;2018-03;2018;Q1;Construction;36779.07
Quarterly;2018-03;2018;Q1;Wholesale & Retail Trade, Restaurants & hotels;71564.32
Quarterly;2018-03;2018;Q1;Finance, Insurance, Real Estate & Business Services;86607.19
Quarterly;2018-03;2018;Q1;Finance, Insurance, Real Estate & Business Services : Real Estate;53197.28
Quarterly;2018-03;2018;Q1;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;33409.91
Quarterly;2018-06;2018;Q2;Manufacturing;98631.7
Quarterly;2018-06;2018;Q2;Transport, Storage & Communication;40128.45
Quarterly;2018-06;2018;Q2;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;35806.43
Quarterly;2018-09;2018;Q3;Manufacturing : Petroleum Refining;28772.08
Quarterly;2018-09;2018;Q3;Wholesale & Retail Trade, Restaurants & hotels;71605.78
Quarterly;2018-09;2018;Q3;Transport, Storage & Communication;40907.5
Quarterly;2018-09;2018;Q3;Finance, Insurance, Real Estate & Business Services : Finance , Insurance and Business sevices;34171.52
Quarterly;2019-03;2019;Q1;Agriculture, Forestry & Fishing;20991.36
Quarterly;2019-03;2019;Q1;Manufacturing;101650.72
Quarterly;2019-03;2019;Q1;Construction;37833.26
Quarterly;2019-03;2019;Q1;Gross Value Added;736577.5
Quarterly;2019-06;2019;Q2;Agriculture, Forestry & Fishing;20821.48
Quarterly;2019-06;2019;Q2;Electricity, Gas and Water;12250.04
Quarterly;2019-06;2019;Q2;Transport, Storage & Communication;43107.14
Quarterly;2019-06;2019;Q2;Finance, Insurance, Real Estate & Business Services : Real Estate;50920.6
Quarterly;2019-06;2019;Q2;Community, Social & Personal Services;25354.21
Quarterly;2019-09;2019;Q3;Manufacturing;96185.54
Quarterly;2019-09;2019;Q3;Construction;40068.33
Quarterly;2019-09;2019;Q3;Wholesale & Retail Trade, Restaurants & hotels;78931.07
Quarterly;2019-09;2019;Q3;Transport, Storage & Communication;43313.77
Quarterly;2019-09;2019;Q3;Finance, Insurance, Real Estate & Business Services : Real Estate;49655.83
Quarterly;2019-12;2019;Q4;Electricity, Gas and Water;9002.07
Quarterly;2019-12;2019;Q4;Construction;39181.11
Quarterly;2019-12;2019;Q4;Transport, Storage & Communication;46962.25
